x,y,z
-46.5,-1.0,9.694261294261294
-46.5,-0.9,8.64423076923077
-46.5,-0.8,2.8345238095238097
-46.5,-0.7,1.5083333333333333
-46.5,-0.6,1.523168498168498
-46.5,-0.5,1.4944139194139194
-46.5,-0.4,1.3212454212454212
-46.5,-0.3,1.5392857142857144
-46.5,-0.2,1.6641941391941393
-46.5,-0.1,1.6635531135531136
-46.5,0.0,1.4222222222222223
-46.4,-1.0,4.767037037037037
-46.4,-0.9,9.313263888888889
-46.4,-0.8,2.719513888888889
-46.4,-0.7,1.7492361111111112
-46.4,-0.6,1.588263888888889
-46.4,-0.5,1.4191666666666667
-46.4,-0.4,1.2422222222222221
-46.4,-0.3,1.277638888888889
-46.4,-0.2,1.1409027777777778
-46.4,-0.1,1.2053472222222221
-46.4,0.0,0.8323148148148148
-46.3,-1.0,7.841549953314659
-46.3,-0.9,9.774719887955182
-46.3,-0.8,2.4201680672268906
-46.3,-0.7,1.9457282913165266
-46.3,-0.6,1.925
-46.3,-0.5,1.7774509803921568
-46.3,-0.4,1.2243697478991598
-46.3,-0.3,1.255672268907563
-46.3,-0.2,1.1084733893557424
-46.3,-0.1,1.0033613445378151
-46.3,0.0,0.8712418300653595
-46.2,-1.0,9.543425925925925
-46.2,-0.9,7.987777777777778
-46.2,-0.8,1.2317361111111111
-46.2,-0.7,1.92375
-46.2,-0.6,1.4873611111111111
-46.2,-0.5,1.7466666666666666
-46.2,-0.4,1.4818055555555556
-46.2,-0.3,1.292361111111111
-46.2,-0.2,1.1302777777777777
-46.2,-0.1,1.3402777777777777
-46.2,0.0,0.9303703703703704
-46.1,-1.0,3.5105555555555554
-46.1,-0.9,2.232222222222222
-46.1,-0.8,1.0404166666666668
-46.1,-0.7,1.4468055555555555
-46.1,-0.6,1.7465277777777777
-46.1,-0.5,1.3636805555555556
-46.1,-0.4,2.0619444444444444
-46.1,-0.3,1.2536805555555555
-46.1,-0.2,1.5990277777777777
-46.1,-0.1,2.0233333333333334
-46.1,0.0,1.0527777777777778
-46.0,-1.0,1.2559228650137741
-46.0,-0.9,0.33643250688705234
-46.0,-0.8,0.39166666666666666
-46.0,-0.7,0.5476584022038568
-46.0,-0.6,0.8864325068870523
-46.0,-0.5,0.7176997245179063
-46.0,-0.4,0.8817493112947659
-46.0,-0.3,0.7963498622589532
-46.0,-0.2,1.0447658402203857
-46.0,-0.1,1.2707988980716254
-46.0,0.0,0.8095500459136823
-45.9,-1.0,0.8287962962962963
-45.9,-0.9,0.0
-45.9,-0.8,0.0
-45.9,-0.7,0.0
-45.9,-0.6,0.0
-45.9,-0.5,0.0
-45.9,-0.4,0.0
-45.9,-0.3,0.0
-45.9,-0.2,0.0
-45.9,-0.1,0.0
-45.9,0.0,0.0
-45.8,-1.0,1.005925925925926
-45.8,-0.9,0.0
-45.8,-0.8,0.0
-45.8,-0.7,0.0
-45.8,-0.6,0.0
-45.8,-0.5,0.0
-45.8,-0.4,0.0
-45.8,-0.3,0.0
-45.8,-0.2,0.0
-45.8,-0.1,0.0
-45.8,0.0,0.0
-45.7,-1.0,0.8702147525676938
-45.7,-0.9,0.0
-45.7,-0.8,0.0
-45.7,-0.7,0.0
-45.7,-0.6,0.0
-45.7,-0.5,0.0
-45.7,-0.4,0.0
-45.7,-0.3,0.0
-45.7,-0.2,0.0
-45.7,-0.1,0.0
-45.7,0.0,0.0
-45.6,-1.0,0.5120370370370371
-45.6,-0.9,0.0
-45.6,-0.8,0.0
-45.6,-0.7,0.0
-45.6,-0.6,0.0
-45.6,-0.5,0.0
